------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jul 17 14:42:45 2017)"
"Ions Flown Separately, Comp Quality(10)"
"Number of Ions to Fly = 100"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","YES","YES","YES","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","E","KE"

        57,         4,2.149215602,         5,         1,871.9999991,19.32254189,1.261637698,-2100.00007,2341.781234
        58,         1,         0,         5,         1,120.1288103,0.05104027058,-0.009506923108,235.5836476,2.904863059
        58,         4,2.134688621,         5,         1,871.9999994,-6.34389566,-11.88073343,-2100.000044,2340.002837
        59,         1,         0,         5,         1,119.9273337,-0.1400173366,-0.09383035724,242.4914171,2.968109177
        59,         4,2.13555755,         5,         1,871.9999998,-3.728788472,-14.54848257,-2100.000012,2345.474839
        60,         1,         0,         5,         1,120.0120167,0.06299438166,-0.1387333759,239.5879978,3.072549733
        60,         4,2.161102111,         5,         1,871.9999997,-6.299995819,-7.43721175,-2100.000023,2343.778065
        61,         1,         0,         5,         1,119.9143901,-0.06041588455,-0.1113089184,242.9351982,3.055835368
        61,         4,2.138356971,         5,         1,871.9999992,16.32791309,-8.808049327,-2100.000063,2347.71528
        62,         1,         0,         5,         1,120.1013524,-0.1161414892,0.03801896068, 236.52506,2.944111824
        62,         4,2.136114655,         5,         1,871.9999994,14.24388647,4.566771366,-2100.000043,2339.463861
        63,         1,         0,         5,         1,120.011335,-0.1251894752,0.0695493117,239.6113709,2.941738674
        63,         4,2.15819651,         5,         1,       872,-9.337614808,9.937565342,-2100.000002,2343.285411
        64,         1,         0,         5,         1,120.0006869,0.1155158562,0.04338918924,239.9764476,3.052608855
        64,         4,2.133341178,         5,         1,871.9999996,4.57884803,10.31271761,-2100.000026,2342.807703
        65,         1,         0,         5,         1,120.0816558,-0.07781591837,0.02585592406,237.200371,3.014316624
        65,         4,2.156775879,         5,         1,871.9999997,7.886215694,-13.68512211,-2100.000019,2340.189686
        66,         1,         0,         5,         1,119.9891265,0.1333028933,0.01140124845,240.3728066,2.889045899
        66,         4,2.147132453,         5,         1,871.9999998,2.200802907,-19.55299017,-2100.000018,2343.96771
        67,         1,         0,         5,         1,119.9603554,0.0135345175,0.1485395182,241.359245,3.028141775
        67,         4,2.144301612,         5,         1,       872,5.442408011,19.43065081,-2100.000004,2343.885358
        68,         1,         0,         5,         1,120.0086181,-0.01929499315,0.0370030017,239.7045223,2.85749582
        68,         4,2.13742392,         5,         1,871.9999994,-15.43985117,-5.010480907,-2100.000045,2342.458579
        69,         1,         0,         5,         1,119.927459,-0.05217078665,-0.01712895646,242.4871192,2.799184023
        69,         4,2.131654494,         5,         1,871.9999999,-0.9685534049,-2.486070673,-2100.000009,2345.257683
        70,         1,         0,         5,         1,119.9684469,0.1330633784,0.008691368416,241.0818208,3.044041056
        70,         4,2.153706855,         5,         1,871.9999992,14.04770351,11.08190151,-2100.000062,2344.290398
        71,         1,         0,         5,         1,119.9890793,-0.02813711914,0.06594968437,240.3744251,3.107570593
        71,         4,2.154080808,         5,         1,871.9999996,17.5312451,-3.776986253,-2100.000031,2343.566134
        72,         1,         0,         5,         1,120.0637988,-0.0985461932,0.06677076252,237.8126114,2.943065938
        72,         4,2.145402047,         5,         1,871.9999997,19.92745994,0.7777074333,-2100.000021,2340.077659
        73,         1,         0,         5,         1,119.9409054,0.05555271974,-0.1337565585,242.0261006,3.030821013
        73,         4,2.156273116,         5,         1,871.9999999,-6.51784336,-14.72999021,-2100.00001,2344.695381
        74,         1,         0,         5,         1,119.8397674,-0.08766652071,-0.05396288442,245.4936885,2.791307854
        74,         4,2.136388704,         5,         1,871.9999995,-7.067452271,-13.95527022,-2100.000033,2349.000743
        75,         1,         0,         5,         1,120.0039422,0.02030980196,-0.07990644784,239.8648383,3.04289498
        75,         4,2.139919599,         5,         1,871.9999993,-18.85216589,0.06051349735,-2100.000057,2342.710073
        76,         1,         0,         5,         1,120.0937652,0.1678093754,-0.1961700709,236.7851925,2.933407068
        76,         4,2.141797602,         5,         1,871.9999996,18.49481149,5.264065095,-2100.000031,2339.793272
        77,         1,         0,         5,         1,119.946673,0.06474984009,0.1571382733,241.8283551,2.934000606
        77,         4,2.155460688,         5,         1,871.9999995,-1.539237914,-16.33426963,-2100.000036,2344.324428
        78,         1,         0,         5,         1,120.0029328,0.0839399004,-0.03180849403,239.8994482,3.051826115
        78,         4,2.160459417,         5,         1,871.9999995,7.992744405,-6.795943173,-2100.000033,2344.478382
        79,         1,         0,         5,         1,120.0490312,-0.04328790755,-0.07489826927,238.3189314,2.853398932
        79,         4,2.13936609,         5,         1,871.9999999,-13.58789063,-11.45235175,-2100.000011,2341.395511
        80,         1,         0,         5,         1,120.1983924,0.05732057798,-0.0937409508,233.1979735,3.037418102
        80,         4,2.152871776,         5,         1,871.9999992,15.9387231,9.647866688,-2100.000067,2336.534194
        81,         1,         0,         5,         1,120.0933744,0.07214638468,0.1741555445,236.7985937,2.933511584
        81,         4,2.131657806,         5,         1,871.9999995,3.281323168,-1.158639081,-2100.000031,2340.049202
        82,         1,         0,         5,         1,120.1226817,-0.05025129246,0.01750254081, 235.79377,2.869937034
        82,         4,2.133023241,         5,         1,871.9999997,-7.500942379,-4.575604887,-2100.000023,2339.16096
        83,         1,         0,         5,         1,119.8982777,-0.08538859333,-0.06762062844,243.4876225,2.980739509
        83,         4,2.152993489,         5,         1,871.9999992,13.74847988,11.35901297,-2100.000061,2347.306001
        84,         1,         0,         5,         1,120.1163589,-0.008913862983,0.01440620585,236.0105537,3.106078872
        84,         4,2.146147558,         5,         1,871.9999997,-18.93948988,7.890795762,-2100.000028,2339.317051
        85,         1,         0,         5,         1,120.1033983,0.01672429381,-0.1092535723,236.4549146,2.87500812
        85,         4,2.160840568,         5,         1,       872,-8.223821749,5.823140928,-2100.000002,2339.736818
        86,         1,         0,         5,         1,120.0740563,-0.04810200826,0.113407899,237.4609279,2.956496936
